id,user_id,page_id,time_stamp,action,object_clicked
20869,252,26,"2023-02-14 13:48:59",page-load,video
20881,252,27,"2023-02-14 13:50:27",page-load,"web form: question"
20882,252,27,"2023-02-14 13:50:36",click,"correct-option: True"
20883,252,27,"2023-02-14 13:50:37",click,next-page
20884,252,28,"2023-02-14 13:50:37",page-load,"web form: question"
20886,252,28,"2023-02-14 13:50:41",click,"correct-option: True"
20887,252,28,"2023-02-14 13:50:43",click,next-page
20888,252,29,"2023-02-14 13:50:44",page-load,video
20923,252,30,"2023-02-14 13:52:14",page-load,"web form: question"
20938,252,30,"2023-02-14 13:52:33",click,"correct-option: All of the above"
20939,252,30,"2023-02-14 13:52:34",click,next-page
20940,252,31,"2023-02-14 13:52:34",page-load,video
20952,252,32,"2023-02-14 13:53:50",page-load,"web form: what would you like to do next"
20953,252,32,"2023-02-14 13:53:55",click,next-page
20954,252,0,"2023-02-14 13:54:00","Skills Quiz-3 Step-1 Correct",TODAY
20955,252,0,"2023-02-14 13:54:02","Skills Quiz-3 Step-2 Correct","Add Entry/Event"
20956,252,0,"2023-02-14 13:54:04","Skills Quiz-3 Step-3 Correct","June 10, 2021"
20957,252,0,"2023-02-14 13:54:05","Skills Quiz-3 Step-4 Correct",right-arrow
20958,252,0,"2023-02-14 13:54:07","Skills Quiz-3 Step-5 Correct",14
20959,252,0,"2023-02-14 13:54:08","Skills Quiz-3 Step-6 Correct",OK
20960,252,0,"2023-02-14 13:54:10","Skills Quiz-3 Step-7 Correct","Tap Here"
20962,252,0,"2023-02-14 13:54:15","Skills Quiz-3 Step-10 Correct","Tap Here"
20963,252,0,"2023-02-14 13:54:21","Skills Quiz-3 Step-13 Correct",event-title
20964,252,0,"2023-02-14 13:54:37","Skills Quiz-3 Step-15 Correct",event-description
20965,252,0,"2023-02-14 13:54:45","Skills Quiz-3 Step-17 Correct",Save
0,0,0,"2023-02-14 13:54:45",module_end,none
