id,user_id,page_id,time_stamp,action,object_clicked
62693,327,244,"2023-06-05 23:33:18",page-load,video
62694,327,245,"2023-06-05 23:37:10",page-load,"goal setting: preview"
62695,327,245,"2023-06-05 23:37:17",click,next-page
62696,327,246,"2023-06-05 23:37:17",page-load,"goal setting: example plan"
62697,327,247,"2023-06-05 23:38:11",page-load,"goal setting: pick one strategy"
62698,327,247,"2023-06-05 23:39:09",click,next-page
62699,327,248,"2023-06-05 23:39:09",page-load,"goal setting: top strategy display"
62700,327,248,"2023-06-05 23:39:25",click,next-page
62701,327,249,"2023-06-05 23:39:26",page-load,"goal setting: when"
62702,327,249,"2023-06-05 23:40:15",click,next-page
62703,327,250,"2023-06-05 23:40:15",page-load,"goal setting: where"
62704,327,250,"2023-06-05 23:40:40",click,next-page
62705,327,251,"2023-06-05 23:40:40",page-load,"goal setting: with whom"
62706,327,251,"2023-06-05 23:41:01",click,next-page
62707,327,252,"2023-06-05 23:41:01",page-load,"goal setting: how"
62708,327,252,"2023-06-05 23:41:38",click,next-page
62709,327,253,"2023-06-05 23:41:38",page-load,"goal setting: barriers and alternatives"
62710,327,253,"2023-06-05 23:42:15",click,next-page
62711,327,254,"2023-06-05 23:42:16",page-load,"goal setting: motivation"
62712,327,254,"2023-06-05 23:42:22",click,next-page
62713,327,255,"2023-06-05 23:42:22",page-load,"goal setting: confidence"
62714,327,255,"2023-06-05 23:42:26",click,next-page
62715,327,256,"2023-06-05 23:42:26",page-load,"goal setting: plan"
62717,327,256,"2023-06-05 23:42:27",click,next-page
62718,327,257,"2023-06-05 23:42:28",page-load,"end of lesson: 4"
62721,327,257,"2023-06-05 23:59:25",page-load,"end of lesson: 4"
62722,327,226,"2023-06-05 23:59:33",page-load,"web form: question"
62723,327,215,"2023-06-05 23:59:35",page-load,video
62726,327,216,"2023-06-06 00:00:39",page-load,"web form: question"
62727,327,216,"2023-06-06 00:00:49",click,"correct-option: 1"
62728,327,216,"2023-06-06 00:00:51",click,next-page
62729,327,217,"2023-06-06 00:00:51",page-load,video
62730,327,0,"2023-06-06 00:05:23","Skills Quiz-11 Step-1 Incorrect",Notes
62731,327,215,"2023-06-06 00:12:09",page-load,video
62732,327,257,"2023-06-06 00:12:16",page-load,"end of lesson: 4"
62733,327,104,"2023-06-06 00:19:14",page-load,video
62734,327,200,"2023-06-06 00:19:18",page-load,video
62735,327,201,"2023-06-06 00:19:43",page-load,"web form: question"
62736,327,201,"2023-06-06 00:19:50",click,"correct-option: D. All of the above"
62737,327,201,"2023-06-06 00:19:51",click,next-page
62738,327,202,"2023-06-06 00:19:52",page-load,video
62739,327,203,"2023-06-06 00:20:24",page-load,"web form: scheduling choices"
62740,327,203,"2023-06-06 00:20:29",tracked,"Monthly expenditures form"
62741,327,203,"2023-06-06 00:20:30",tracked,"Project planning form"
62742,327,203,"2023-06-06 00:20:32",tracked,"List of current books/movie list"
62743,327,203,"2023-06-06 00:20:33",click,next-page
62744,327,204,"2023-06-06 00:20:33",page-load,video
62745,327,205,"2023-06-06 00:20:45",page-load,"web form: question"
62746,327,205,"2023-06-06 00:20:48",click,"correct-option: Add New Folder"
62747,327,205,"2023-06-06 00:21:15",click,next-page
62748,327,206,"2023-06-06 00:21:15",page-load,video
62749,327,207,"2023-06-06 00:22:58",page-load,"web form: question"
62750,327,207,"2023-06-06 00:23:10",click,"correct-option: Sorts your folders by putting the most used folders at the top."
62751,327,207,"2023-06-06 00:23:11",click,next-page
62752,327,208,"2023-06-06 00:23:11",page-load,"web form: what would you like to do next"
62753,327,208,"2023-06-06 00:23:14",click,next-page
62754,327,209,"2023-06-06 00:23:15",page-load,"skills quiz preview"
62755,327,209,"2023-06-06 00:23:19",click,next-page
62756,327,0,"2023-06-06 00:23:49","Skills Quiz 30 second Hint",30time
63736,327,200,"2023-06-06 21:57:05",page-load,video
63741,327,215,"2023-06-06 21:57:23",page-load,video
63742,327,226,"2023-06-06 21:57:26",page-load,"web form: question"
63745,327,226,"2023-06-06 21:57:34",click,next-page
63746,327,226,"2023-06-06 21:57:37",click,next-page
63747,327,226,"2023-06-06 21:57:38",click,next-page
63748,327,226,"2023-06-06 21:57:43",click,"correct-option: Magnifying Glass"
63754,327,227,"2023-06-06 21:58:37",page-load,video
64567,327,300,"2023-06-12 15:35:44",page-load,video
64568,327,300,"2023-06-12 15:35:53",page-load,video
64569,327,305,"2023-06-12 15:35:56",page-load,"web form: question"
64570,327,304,"2023-06-12 15:36:49",page-load,"web form: question"
64571,327,304,"2023-06-12 15:36:50",click,previous-page
64572,327,303,"2023-06-12 15:36:51",page-load,"web form: question"
64573,327,303,"2023-06-12 15:36:52",click,previous-page
64574,327,302,"2023-06-12 15:36:52",page-load,"web form: question"
64575,327,302,"2023-06-12 15:36:53",click,previous-page
64576,327,301,"2023-06-12 15:36:53",page-load,"web form: question"
64577,327,301,"2023-06-12 15:36:55",click,previous-page
64578,327,300,"2023-06-12 15:36:55",page-load,video
64579,327,301,"2023-06-12 15:37:07",page-load,"web form: question"
64580,327,301,"2023-06-12 15:37:09",click,next-page
64581,327,302,"2023-06-12 15:37:09",page-load,"web form: question"
64582,327,302,"2023-06-12 15:37:14",tracked,"Finding it increasingly difficult to participate in group events and community activities"
64583,327,302,"2023-06-12 15:37:17",tracked,"Finding it increasingly difficult to participate in group events and community activities"
64584,327,302,"2023-06-12 15:37:23",click,previous-page
64585,327,301,"2023-06-12 15:37:23",page-load,"web form: question"
64586,327,301,"2023-06-12 15:37:26",click,next-page
64587,327,302,"2023-06-12 15:37:27",page-load,"web form: question"
64588,327,302,"2023-06-12 15:37:27",click,next-page
64589,327,303,"2023-06-12 15:37:28",page-load,"web form: question"
64590,327,303,"2023-06-12 15:37:35",click,next-page
64591,327,304,"2023-06-12 15:37:35",page-load,"web form: question"
64592,327,304,"2023-06-12 15:37:40",click,next-page
64593,327,305,"2023-06-12 15:37:40",page-load,"web form: question"
64594,327,305,"2023-06-12 15:37:42",click,previous-page
64595,327,304,"2023-06-12 15:37:42",page-load,"web form: question"
64596,327,304,"2023-06-12 15:37:43",click,previous-page
64597,327,303,"2023-06-12 15:37:44",page-load,"web form: question"
64598,327,303,"2023-06-12 15:37:44",click,previous-page
64599,327,302,"2023-06-12 15:37:45",page-load,"web form: question"
64600,327,302,"2023-06-12 15:37:46",click,previous-page
64601,327,301,"2023-06-12 15:37:46",page-load,"web form: question"
64602,327,301,"2023-06-12 15:37:48",click,previous-page
64603,327,300,"2023-06-12 15:37:48",page-load,video
64604,327,305,"2023-06-12 15:37:58",page-load,"web form: question"
64605,327,301,"2023-06-12 15:38:00",page-load,"web form: question"
64606,327,301,"2023-06-12 15:38:20",click,next-page
64607,327,302,"2023-06-12 15:38:20",page-load,"web form: question"
64608,327,302,"2023-06-12 15:38:21",click,next-page
64609,327,303,"2023-06-12 15:38:22",page-load,"web form: question"
64610,327,303,"2023-06-12 15:38:23",click,next-page
64611,327,304,"2023-06-12 15:38:23",page-load,"web form: question"
64612,327,304,"2023-06-12 15:38:24",click,next-page
64613,327,305,"2023-06-12 15:38:25",page-load,"web form: question"
64614,327,305,"2023-06-12 15:38:54",click,previous-page
64615,327,304,"2023-06-12 15:38:54",page-load,"web form: question"
64616,327,304,"2023-06-12 15:38:55",click,previous-page
64617,327,303,"2023-06-12 15:38:55",page-load,"web form: question"
64618,327,303,"2023-06-12 15:38:56",click,previous-page
64620,327,302,"2023-06-12 15:38:56",page-load,"web form: question"
64621,327,302,"2023-06-12 15:38:57",click,previous-page
64622,327,301,"2023-06-12 15:38:58",page-load,"web form: question"
64623,327,301,"2023-06-12 15:38:59",click,previous-page
64624,327,300,"2023-06-12 15:38:59",page-load,video
64627,327,305,"2023-06-12 15:39:07",page-load,"web form: question"
64628,327,301,"2023-06-12 15:39:08",page-load,"web form: question"
64637,327,302,"2023-06-12 15:42:42",page-load,"web form: question"
64640,327,303,"2023-06-12 15:43:18",page-load,"web form: question"
64649,327,304,"2023-06-12 15:45:12",page-load,"web form: question"
64650,327,304,"2023-06-12 15:45:19",click,next-page
64651,327,305,"2023-06-12 15:45:19",page-load,"web form: question"
64652,327,306,"2023-06-12 15:46:34",page-load,video
64655,327,307,"2023-06-12 15:50:12",page-load,"tech comfort quiz, part one"
64664,327,307,"2023-06-12 15:51:26",click,next-page
64665,327,307,"2023-06-12 15:51:33",tracked,"Comfort with tech 6"
64666,327,307,"2023-06-12 15:51:34",tracked,"Confidence in tech 6"
64667,327,307,"2023-06-12 15:51:34",tracked,"Problem-solve tech 6"
64668,327,307,"2023-06-12 15:51:35",click,next-page
