id,user_id,page_id,time_stamp,action,object_clicked
24587,245,130,"2023-02-21 13:50:18",page-load,"web form: question"
24588,245,130,"2023-02-21 13:50:19",click,"incorrect-option: In the Time Schedule only"
24589,245,130,"2023-02-21 13:50:19",click,"correct-option: In the To Do list only"
24590,245,130,"2023-02-21 13:50:19",click,"incorrect-option: In both the Time Schedule and the To Do list"
24591,245,130,"2023-02-21 13:50:20",click,next-page
24592,245,131,"2023-02-21 13:50:21",page-load,video
24593,245,132,"2023-02-21 13:50:30",page-load,"web form: what would you like to do next"
24594,245,132,"2023-02-21 13:50:31",click,next-page
24595,245,133,"2023-02-21 13:50:32",page-load,video
24596,245,134,"2023-02-21 13:50:39",page-load,"web form: question"
24597,245,134,"2023-02-21 13:50:40",click,"correct-option: Check off the empty box next to ""walk Buster"""
24598,245,134,"2023-02-21 13:50:41",click,"incorrect-option: Check off all boxes"
24599,245,134,"2023-02-21 13:50:41",click,"incorrect-option: Leave all events on your to do list so you remember they happened"
24600,245,134,"2023-02-21 13:50:42",click,next-page
24601,245,135,"2023-02-21 13:50:43",page-load,video
24602,245,136,"2023-02-21 13:50:48",page-load,"web form: what would you like to do next"
24603,245,136,"2023-02-21 13:50:49",click,next-page
24604,245,137,"2023-02-21 13:50:50",page-load,"skills quiz 10: preview"
24605,245,137,"2023-02-21 13:51:01",click,next-page
24606,245,0,"2023-02-21 13:51:06","Skills Quiz-9 Step-1 Incorrect","Laundry "
24607,245,0,"2023-02-21 13:51:08","Skills Quiz-9 Step-1 Correct",Edit
24608,245,0,"2023-02-21 13:51:11","Skills Quiz-9 Step-2 Correct",nos-time-check
24609,245,0,"2023-02-21 13:51:12","Skills Quiz-9 Step-3 Correct",start-time
24610,245,0,"2023-02-21 13:51:17","Skills Quiz-9 Step-6 Correct",end-time
24611,245,0,"2023-02-21 13:51:26","Skills Quiz-9 Step-9 Correct",Save
24612,245,0,"2023-02-21 13:51:28","Skills Quiz-9 Step-10 Incorrect",Loading...
24613,245,0,"2023-02-21 13:51:29","Skills Quiz-9 Step-10 Correct",CALENDAR
24614,245,0,"2023-02-21 13:51:32","Skills Quiz-9 Step-11 Correct",9
24615,245,0,"2023-02-21 13:51:34","Skills Quiz-9 Step-12 Incorrect","Mail Letter to Sarah "
24616,245,0,"2023-02-21 13:51:36","Skills Quiz-9 Step-12 Correct",Edit
24617,245,0,"2023-02-21 13:51:39","Skills Quiz-9 Step-13 Correct","June 9, 2021"
24618,245,0,"2023-02-21 13:51:40","Skills Quiz-9 Step-14 Correct",10
24619,245,0,"2023-02-21 13:51:41","Skills Quiz-9 Step-15 Correct",OK
24620,245,0,"2023-02-21 13:51:43","Skills Quiz-9 Step-16 Incorrect",undefined
24621,245,0,"2023-02-21 13:51:43","Skills Quiz-9 Step-16 Correct",nos-time-check
24622,245,0,"2023-02-21 13:51:44","Skills Quiz-9 Step-17 Correct",start-time
24623,245,0,"2023-02-21 13:51:55","Skills Quiz-9 Step-20 Correct",end-time
24624,245,0,"2023-02-21 13:52:00","Skills Quiz-9 Step-23 Correct",Save
24625,245,0,"2023-02-21 13:52:06","Skills Quiz-9 Step-24 Correct",CALENDAR
24626,245,0,"2023-02-21 13:52:08","Skills Quiz-9 Step-25 Correct",10
24627,245,0,"2023-02-21 13:52:12","Skills Quiz-9 Step-26 Correct",Edit
24628,245,0,"2023-02-21 13:52:23","Skills Quiz-9 Step-27 Correct",event-description
24629,245,0,"2023-02-21 13:52:29","Skills Quiz-9 Step-29 Incorrect","30 min"
24630,245,0,"2023-02-21 13:52:29","Skills Quiz-9 Step-29 Incorrect","60 min"
24631,245,0,"2023-02-21 13:52:30","Skills Quiz-9 Step-29 Correct","60 min"
0,0,0,"2023-02-21 13:52:31",module_end,none
