id,user_id,page_id,time_stamp,action,object_clicked
48170,322,0,"2023-05-02 19:37:46","Skills Quiz-18 Step-8 Incorrect",Move
48171,322,244,"2023-05-02 19:37:47",page-load,video
48172,322,245,"2023-05-02 19:40:51",page-load,"goal setting: preview"
48173,322,246,"2023-05-02 19:42:00",page-load,"goal setting: example plan"
48174,322,247,"2023-05-02 19:42:43",page-load,"goal setting: pick one strategy"
48175,322,247,"2023-05-02 19:43:32",click,next-page
48176,322,248,"2023-05-02 19:43:32",page-load,"goal setting: top strategy display"
48177,322,248,"2023-05-02 19:43:51",click,next-page
48178,322,249,"2023-05-02 19:43:51",page-load,"goal setting: when"
48179,322,249,"2023-05-02 19:44:12",click,next-page
48180,322,250,"2023-05-02 19:44:13",page-load,"goal setting: where"
48181,322,250,"2023-05-02 19:44:24",click,next-page
48182,322,251,"2023-05-02 19:44:25",page-load,"goal setting: with whom"
48183,322,251,"2023-05-02 19:44:56",click,next-page
48184,322,252,"2023-05-02 19:44:57",page-load,"goal setting: how"
48185,322,252,"2023-05-02 19:46:57",click,next-page
48186,322,253,"2023-05-02 19:46:57",page-load,"goal setting: barriers and alternatives"
48187,322,253,"2023-05-02 19:48:03",click,next-page
48188,322,254,"2023-05-02 19:48:04",page-load,"goal setting: motivation"
48189,322,254,"2023-05-02 19:48:09",click,next-page
48190,322,255,"2023-05-02 19:48:09",page-load,"goal setting: confidence"
48191,322,255,"2023-05-02 19:48:16",click,next-page
48192,322,256,"2023-05-02 19:48:16",page-load,"goal setting: plan"
48193,322,256,"2023-05-02 19:48:43",click,next-page
48194,322,257,"2023-05-02 19:48:43",page-load,"end of lesson: 4"
49475,322,257,"2023-05-04 18:06:07",page-load,"end of lesson: 4"
49476,322,400,"2023-05-04 18:06:13",page-load,video
51430,322,400,"2023-05-09 16:48:06",page-load,video
51431,322,401,"2023-05-09 16:51:22",page-load,"web form: question"
51432,322,401,"2023-05-09 16:51:26",click,"correct-option: False"
51433,322,401,"2023-05-09 16:51:29",click,next-page
51434,322,402,"2023-05-09 16:51:29",page-load,video
51435,322,403,"2023-05-09 16:55:55",page-load,"web form: what would you like to do next"
51436,322,403,"2023-05-09 16:56:02",click,next-page
51437,322,404,"2023-05-09 16:56:03",page-load,"skills quiz preview"
51438,322,0,"2023-05-09 16:56:51","Skills Quiz-19 Step-1 Incorrect",HEALTH
51439,322,0,"2023-05-09 16:56:57","Skills Quiz-19 Step-2 Correct","Medical Information"
51440,322,0,"2023-05-09 16:57:03","Skills Quiz-19 Step-3 Correct","Add New Note"
51441,322,0,"2023-05-09 16:57:06","Skills Quiz-19 Step-4 Correct",noteSpecialty
51442,322,0,"2023-05-09 16:57:36","Skills Quiz 30 second Hint",30time
51443,322,0,"2023-05-09 16:58:16","Skills Quiz-19 Step-6 Incorrect","Close  SAVE"
51444,322,0,"2023-05-09 16:58:31","Skills Quiz-19 Step-6 Correct",noteName
51445,322,0,"2023-05-09 16:58:35","Skills Quiz-19 Step-8 Incorrect","Close  SAVE"
51446,322,0,"2023-05-09 16:58:37","Skills Quiz-19 Step-8 Correct",notePhone
51447,322,0,"2023-05-09 16:58:42","Skills Quiz-19 Step-10 Correct",noteAddress
51448,322,0,"2023-05-09 16:58:52","Skills Quiz-19 Step-12 Correct",noteDetails
51449,322,0,"2023-05-09 16:58:55","Skills Quiz-19 Step-14 Correct",SAVE
51450,322,0,"2023-05-09 16:59:07","Skills Quiz-19 Step-14 Incorrect","Close  EDIT"
51451,322,0,"2023-05-09 16:59:12","Skills Quiz-19 Step-14 Correct",Close
0,0,0,"2023-05-09 16:59:12",module_end,none
