id,user_id,page_id,time_stamp,action,object_clicked
7154,1,244,"2023-01-23 13:39:49",page-load,video
7155,1,0,"2023-01-23 13:40:34","Skills Quiz 30 second Hint",30time
7156,1,0,"2023-01-23 13:45:04","Skills Quiz 30 second Hint",30time
7157,1,0,"2023-01-23 14:07:29","Skills Quiz 30 second Hint",30time
7158,1,0,"2023-01-23 14:07:50","Skills Quiz-15 Step-1 Correct",Relevant
7159,1,0,"2023-01-23 14:07:52","Skills Quiz-15 Step-2 Correct","A - Z"
7160,1,230,"2023-01-23 14:07:56",click,"skills quiz hint"
7161,1,230,"2023-01-23 14:07:57",click,"skills quiz hint"
7162,1,0,"2023-01-23 14:08:01","Skills Quiz-15 Step-3 Correct","Lawn IdeasEdit"
7163,1,230,"2023-01-23 14:08:06",click,"skills quiz hint"
7164,1,230,"2023-01-23 14:08:07",click,"skills quiz hint"
7165,1,0,"2023-01-23 14:08:17","Skills Quiz-15 Step-1 Correct",Relevant
7166,1,0,"2023-01-23 14:08:19","Skills Quiz-15 Step-2 Correct","A - Z"
7167,1,230,"2023-01-23 14:08:22",click,"skills quiz hint"
7168,1,0,"2023-01-23 14:08:25","Skills Quiz-15 Step-3 Correct","Lawn IdeasEdit"
7169,1,0,"2023-01-23 14:08:49","Skills Quiz 30 second Hint",30time
7170,1,230,"2023-01-23 14:09:14",click,"skills quiz hint"
7171,1,0,"2023-01-23 14:09:16","Skills Quiz-15 Step-1 Correct",Relevant
7172,1,230,"2023-01-23 14:09:18",click,"skills quiz hint"
7173,1,0,"2023-01-23 14:09:20","Skills Quiz-15 Step-2 Correct","A - Z"
7174,1,230,"2023-01-23 14:09:23",click,"skills quiz hint"
7175,1,0,"2023-01-23 14:09:50","Skills Quiz 30 second Hint",30time
7267,1,0,"2023-01-23 14:32:51","Skills Quiz-15 Step-1 Correct",Relevant
7268,1,230,"2023-01-23 14:32:53",click,"skills quiz hint"
7269,1,0,"2023-01-23 14:32:54","Skills Quiz-15 Step-2 Correct","A - Z"
7270,1,230,"2023-01-23 14:32:57",click,"skills quiz hint"
7273,1,230,"2023-01-23 14:33:00",click,"skills quiz hint"
7280,1,0,"2023-01-23 14:33:13","Skills Quiz-15 Step-3 Correct","Lawn IdeasEdit"
