id,user_id,page_id,time_stamp,action,object_clicked
90489,305,140,"2023-08-21 23:34:15",page-load,"skills quiz 10: preview"
90515,305,140,"2023-08-21 23:39:04",click,next-page
90517,305,0,"2023-08-21 23:39:15","Skills Quiz-10 Step-1 Correct",Edit
90518,305,0,"2023-08-21 23:39:19","Skills Quiz-10 Step-2 Incorrect",undefined
90520,305,0,"2023-08-21 23:39:20","Skills Quiz-10 Step-2 Correct",nos-time-check
90522,305,0,"2023-08-21 23:39:21","Skills Quiz-10 Step-3 Correct",start-time
90525,305,0,"2023-08-21 23:39:27","Skills Quiz-10 Step-6 Correct",end-time
90528,305,0,"2023-08-21 23:39:37","Skills Quiz-10 Step-9 Correct",Save
90529,305,0,"2023-08-21 23:39:49","Skills Quiz-10 Step-10 Correct",CALENDAR
90530,305,0,"2023-08-21 23:39:51","Skills Quiz-10 Step-11 Correct",9
90532,305,0,"2023-08-21 23:39:59","Skills Quiz-10 Step-12 Correct",Edit
90535,305,0,"2023-08-21 23:40:03","Skills Quiz-10 Step-13 Correct","June 9, 2021"
90536,305,0,"2023-08-21 23:40:04","Skills Quiz-10 Step-14 Correct",10
90538,305,0,"2023-08-21 23:40:06","Skills Quiz-10 Step-15 Correct",OK
90544,305,0,"2023-08-21 23:40:36","Skills Quiz 30 second Hint",30time
90552,305,0,"2023-08-21 23:40:56","Skills Quiz-10 Step-16 Correct",nos-time-check
90553,305,0,"2023-08-21 23:40:59","Skills Quiz-10 Step-17 Correct",start-time
90554,305,0,"2023-08-21 23:41:16","Skills Quiz-10 Step-20 Correct",end-time
90555,305,0,"2023-08-21 23:41:30","Skills Quiz-10 Step-23 Correct",Save
90557,305,0,"2023-08-21 23:42:01","Skills Quiz 30 second Hint",30time
90708,305,300,"2023-08-22 20:03:49",page-load,video
97927,305,10,"2023-09-18 23:42:30",page-load,video
97936,305,10,"2023-09-19 00:01:45",page-load,video
97938,305,11,"2023-09-19 00:03:32",page-load,video
97940,305,12,"2023-09-19 00:04:22",page-load,"web form: scheduling choices"
97947,305,12,"2023-09-19 00:05:20",tracked,"Remembering day to day things"
97948,305,12,"2023-09-19 00:05:21",tracked,"Scheduling and keeping appointments"
97949,305,12,"2023-09-19 00:05:21",tracked,"Managing finances"
97950,305,12,"2023-09-19 00:05:22",click,next-page
97951,305,13,"2023-09-19 00:05:23",page-load,video
97955,305,14,"2023-09-19 00:06:06",page-load,"web form: what would you like to do next"
97956,305,14,"2023-09-19 00:06:07",click,next-page
97957,305,15,"2023-09-19 00:06:08",page-load,video
97961,305,16,"2023-09-19 00:07:03",page-load,"web form: question"
97963,305,16,"2023-09-19 00:07:06",click,"correct-option: Grey"
97964,305,17,"2023-09-19 00:07:07",page-load,video
97965,305,18,"2023-09-19 00:07:29",page-load,"web form: question"
97967,305,18,"2023-09-19 00:07:35",click,"correct-option: 1:30 PM"
97968,305,18,"2023-09-19 00:07:36",click,next-page
97969,305,19,"2023-09-19 00:07:37",page-load,video
97973,305,20,"2023-09-19 00:12:59",page-load,"web form: question"
97974,305,20,"2023-09-19 00:13:31",click,"correct-option: Blue"
97975,305,20,"2023-09-19 00:13:32",click,next-page
97976,305,21,"2023-09-19 00:13:32",page-load,"web form: what would you like to do next"
97986,305,0,"2023-09-19 00:15:42","Skills Quiz-1 Step-1 Correct",TODAY
97990,305,0,"2023-09-19 00:16:13","Skills Quiz 30 second Hint",30time
97993,305,0,"2023-09-19 00:16:50","Skills Quiz-1 Step-3 Correct","June 10, 2021"
97994,305,22,"2023-09-19 00:17:11",click,"skills quiz hint"
97996,305,0,"2023-09-19 00:17:20","Skills Quiz 30 second Hint",30time
98001,305,0,"2023-09-19 00:17:48","Skills Quiz-1 Step-4 Correct",right-arrow
98004,305,0,"2023-09-19 00:18:19","Skills Quiz 30 second Hint",30time
98007,305,0,"2023-09-19 00:18:33","Skills Quiz-1 Step-5 Correct",14
98008,305,0,"2023-09-19 00:18:34","Skills Quiz-1 Step-6 Correct",OK
0,0,0,"2023-09-19 00:18:34",module_end,none
