id,user_id,page_id,time_stamp,action,object_clicked
17966,223,531,"2023-02-13 10:56:11",page-load,"goal setting: preview"
17967,223,531,"2023-02-13 10:56:13",click,next-page
17968,223,532,"2023-02-13 10:56:14",page-load,"goal setting: example plan"
17969,223,532,"2023-02-13 10:56:18",click,next-page
17970,223,533,"2023-02-13 10:56:19",page-load,"goal setting: pick one strategy"
17971,223,533,"2023-02-13 10:56:27",click,next-page
17972,223,534,"2023-02-13 10:56:28",page-load,"goal setting: top strategy display"
17973,223,534,"2023-02-13 10:56:29",click,next-page
17974,223,535,"2023-02-13 10:56:29",page-load,"goal setting: when"
17975,223,53,"2023-02-13 10:56:34",page-load,"goal setting: how"
17976,223,539,"2023-02-13 10:56:35",page-load,"goal setting: barriers and alternatives"
17977,223,502,"2023-02-13 10:56:43",page-load,video
17978,223,54,"2023-02-13 10:56:44",page-load,"goal setting: plan"
17979,223,540,"2023-02-13 10:56:44",page-load,"goal setting: motivation"
17980,223,540,"2023-02-13 10:56:46",click,next-page
17981,223,541,"2023-02-13 10:56:47",page-load,"goal setting: confidence"
17982,223,541,"2023-02-13 10:56:48",click,next-page
17983,223,542,"2023-02-13 10:56:49",page-load,"goal setting: plan"
17984,223,542,"2023-02-13 10:56:51",click,next-page
17985,223,543,"2023-02-13 10:56:52",page-load,"end of lesson: 6"
17986,223,300,"2023-02-13 10:57:49",page-load,video
17987,223,30,"2023-02-13 10:58:01",page-load,"web form: question"
17988,223,301,"2023-02-13 10:58:02",page-load,"web form: question"
17989,223,301,"2023-02-13 10:58:05",tracked,"Having a harder time remembering important events"
17990,223,301,"2023-02-13 10:58:05",tracked,"Having a harder time planning and cooking meals efficiently"
17991,223,301,"2023-02-13 10:58:06",tracked,"Having a harder time remembering telephone messages"
17992,223,301,"2023-02-13 10:58:06",tracked,"Having a harder time with scheduling and keeping appointments"
17993,223,301,"2023-02-13 10:58:07",click,next-page
17994,223,302,"2023-02-13 10:58:07",page-load,"web form: question"
17995,223,302,"2023-02-13 10:58:08",tracked,"Greater difficulty managing medications"
17996,223,302,"2023-02-13 10:58:08",tracked,"Greater difficulty managing finances"
17997,223,302,"2023-02-13 10:58:08",tracked,"Losing track of conversations, movies, and books"
17998,223,302,"2023-02-13 10:58:09",tracked,"Finding it increasingly difficult to participate in group events and community activities"
17999,223,302,"2023-02-13 10:58:09",click,next-page
18000,223,303,"2023-02-13 10:58:09",page-load,"web form: question"
18001,223,303,"2023-02-13 10:58:10",tracked,"Having a harder time completing minor household repairs"
18002,223,303,"2023-02-13 10:58:10",tracked,"Feeling increasingly overwhelmed by making decisions"
18003,223,303,"2023-02-13 10:58:11",tracked,"Feeling increasingly overwhelmed by planning steps to accomplish a task"
18004,223,303,"2023-02-13 10:58:11",tracked,"Having a harder time navigating (walking or driving) around unfamiliar and familiar environments"
18005,223,303,"2023-02-13 10:58:11",click,next-page
18006,223,304,"2023-02-13 10:58:12",page-load,"web form: question"
18007,223,304,"2023-02-13 10:58:12",tracked,"Having a harder time participating in conversations with others"
18008,223,304,"2023-02-13 10:58:13",tracked,"Becoming more impulsive and/or exercising poor judgment"
18009,223,304,"2023-02-13 10:58:13",tracked,"Forgetting things more often"
18010,223,304,"2023-02-13 10:58:13",tracked,"Repeating the same questions more often"
18011,223,304,"2023-02-13 10:58:14",click,next-page
18012,223,305,"2023-02-13 10:58:14",page-load,"web form: question"
18013,223,305,"2023-02-13 10:58:17",click,next-page
18014,223,306,"2023-02-13 10:58:17",page-load,video
18015,223,30,"2023-02-13 10:58:57",page-load,"web form: question"
18016,223,300,"2023-02-13 10:58:59",page-load,video
18017,223,30,"2023-02-13 10:59:04",page-load,"web form: question"
18018,223,301,"2023-02-13 10:59:05",page-load,"web form: question"
18019,223,301,"2023-02-13 10:59:17",tracked,"Having a harder time remembering telephone messages"
18020,223,301,"2023-02-13 10:59:17",tracked,"Having a harder time planning and cooking meals efficiently"
18021,223,301,"2023-02-13 10:59:18",tracked,"Having a harder time remembering important events"
18022,223,301,"2023-02-13 10:59:18",tracked,"Having a harder time with scheduling and keeping appointments"
18023,223,301,"2023-02-13 10:59:18",click,next-page
18024,223,302,"2023-02-13 10:59:19",page-load,"web form: question"
18025,223,302,"2023-02-13 10:59:19",tracked,"Greater difficulty managing medications"
18026,223,302,"2023-02-13 10:59:20",tracked,"Greater difficulty managing finances"
18027,223,302,"2023-02-13 10:59:20",tracked,"Losing track of conversations, movies, and books"
18028,223,302,"2023-02-13 10:59:20",tracked,"Finding it increasingly difficult to participate in group events and community activities"
18029,223,302,"2023-02-13 10:59:21",click,next-page
18030,223,303,"2023-02-13 10:59:21",page-load,"web form: question"
18031,223,303,"2023-02-13 10:59:22",tracked,"Having a harder time completing minor household repairs"
18032,223,303,"2023-02-13 10:59:22",tracked,"Feeling increasingly overwhelmed by making decisions"
18033,223,303,"2023-02-13 10:59:23",tracked,"Feeling increasingly overwhelmed by planning steps to accomplish a task"
18034,223,303,"2023-02-13 10:59:23",tracked,"Having a harder time navigating (walking or driving) around unfamiliar and familiar environments"
18035,223,303,"2023-02-13 10:59:24",click,next-page
18036,223,304,"2023-02-13 10:59:24",page-load,"web form: question"
18037,223,304,"2023-02-13 10:59:25",tracked,"Having a harder time participating in conversations with others"
18038,223,304,"2023-02-13 10:59:25",tracked,"Becoming more impulsive and/or exercising poor judgment"
18039,223,304,"2023-02-13 10:59:25",tracked,"Forgetting things more often"
18040,223,304,"2023-02-13 10:59:26",tracked,"Repeating the same questions more often"
18041,223,304,"2023-02-13 10:59:26",click,next-page
18042,223,305,"2023-02-13 10:59:26",page-load,"web form: question"
18043,223,305,"2023-02-13 10:59:29",click,next-page
18044,223,306,"2023-02-13 10:59:29",page-load,video
18045,223,306,"2023-02-13 11:00:04",page-load,video
18046,223,307,"2023-02-13 11:00:06",page-load,"tech comfort quiz, part one"
18047,223,307,"2023-02-13 11:00:07",tracked,"Comfort with tech 7"
18048,223,307,"2023-02-13 11:00:08",tracked,"Comfort with tech 6"
18049,223,307,"2023-02-13 11:00:08",tracked,"Comfort with tech 2"
18050,223,307,"2023-02-13 11:00:09",tracked,"Comfort with tech 5"
18051,223,307,"2023-02-13 11:00:09",tracked,"Comfort with tech 3"
18052,223,307,"2023-02-13 11:00:09",tracked,"Comfort with tech 7"
18053,223,307,"2023-02-13 11:00:09",tracked,"Comfort with tech 5"
18054,223,307,"2023-02-13 11:00:10",tracked,"Comfort with tech 3"
18055,223,307,"2023-02-13 11:00:10",tracked,"Comfort with tech 5"
18056,223,307,"2023-02-13 11:00:10",tracked,"Comfort with tech 1"
18057,223,307,"2023-02-13 11:00:11",tracked,"Comfort with tech 6"
18058,223,307,"2023-02-13 11:00:11",tracked,"Comfort with tech 3"
18059,223,307,"2023-02-13 11:00:11",tracked,"Comfort with tech 4"
18060,223,307,"2023-02-13 11:00:11",tracked,"Comfort with tech 6"
18061,223,307,"2023-02-13 11:00:11",tracked,"Comfort with tech 1"
18062,223,307,"2023-02-13 11:00:11",tracked,"Comfort with tech 5"
18063,223,307,"2023-02-13 11:00:12",tracked,"Comfort with tech 7"
18064,223,307,"2023-02-13 11:00:12",tracked,"Comfort with tech 5"
18065,223,307,"2023-02-13 11:00:12",tracked,"Comfort with tech 2"
18066,223,307,"2023-02-13 11:00:13",tracked,"Comfort with tech 1"
18067,223,307,"2023-02-13 11:00:13",tracked,"Comfort with tech 3"
18068,223,307,"2023-02-13 11:00:13",tracked,"Comfort with tech 6"
18069,223,307,"2023-02-13 11:00:13",tracked,"Comfort with tech 4"
18070,223,307,"2023-02-13 11:00:13",tracked,"Comfort with tech 4"
18071,223,307,"2023-02-13 11:00:13",tracked,"Comfort with tech 1"
18072,223,307,"2023-02-13 11:00:14",tracked,"Comfort with tech 6"
18073,223,307,"2023-02-13 11:00:14",tracked,"Comfort with tech 3"
18074,223,307,"2023-02-13 11:00:14",tracked,"Comfort with tech 5"
18075,223,307,"2023-02-13 11:00:14",tracked,"Comfort with tech 2"
18076,223,307,"2023-02-13 11:00:16",tracked,"Confidence in tech 6"
18077,223,307,"2023-02-13 11:00:16",tracked,"Confidence in tech 1"
18078,223,307,"2023-02-13 11:00:17",tracked,"Confidence in tech 3"
18079,223,307,"2023-02-13 11:00:17",tracked,"Confidence in tech 5"
18080,223,307,"2023-02-13 11:00:17",tracked,"Confidence in tech 4"
18081,223,307,"2023-02-13 11:00:17",tracked,"Confidence in tech 5"
18082,223,307,"2023-02-13 11:00:18",tracked,"Confidence in tech 6"
18083,223,307,"2023-02-13 11:00:18",tracked,"Confidence in tech 3"
18084,223,307,"2023-02-13 11:00:18",tracked,"Confidence in tech 5"
18085,223,307,"2023-02-13 11:00:18",tracked,"Confidence in tech 1"
18086,223,307,"2023-02-13 11:00:19",tracked,"Confidence in tech 3"
18087,223,307,"2023-02-13 11:00:19",tracked,"Confidence in tech 5"
18088,223,307,"2023-02-13 11:00:20",tracked,"Problem-solve tech 5"
18089,223,307,"2023-02-13 11:00:21",tracked,"Problem-solve tech 4"
18090,223,307,"2023-02-13 11:00:21",tracked,"Problem-solve tech 3"
18091,223,307,"2023-02-13 11:00:21",tracked,"Problem-solve tech 2"
18092,223,307,"2023-02-13 11:00:22",click,previous-page
18093,223,306,"2023-02-13 11:00:23",page-load,video
18094,223,30,"2023-02-13 11:00:27",page-load,"web form: question"
18095,223,307,"2023-02-13 11:00:28",page-load,"tech comfort quiz, part one"
18096,223,307,"2023-02-13 11:00:29",tracked,"Comfort with tech 5"
18097,223,307,"2023-02-13 11:00:29",tracked,"Comfort with tech 3"
18098,223,307,"2023-02-13 11:00:30",tracked,"Comfort with tech 7"
18099,223,307,"2023-02-13 11:00:30",tracked,"Comfort with tech 5"
18100,223,307,"2023-02-13 11:00:30",tracked,"Comfort with tech 3"
18101,223,307,"2023-02-13 11:00:30",tracked,"Comfort with tech 5"
18102,223,307,"2023-02-13 11:00:31",tracked,"Comfort with tech 4"
18103,223,307,"2023-02-13 11:00:31",tracked,"Comfort with tech 2"
18104,223,307,"2023-02-13 11:00:31",tracked,"Confidence in tech 5"
18105,223,307,"2023-02-13 11:00:31",tracked,"Confidence in tech 2"
18106,223,307,"2023-02-13 11:00:32",tracked,"Confidence in tech 6"
18107,223,307,"2023-02-13 11:00:32",tracked,"Confidence in tech 1"
18108,223,307,"2023-02-13 11:00:32",tracked,"Confidence in tech 5"
18109,223,307,"2023-02-13 11:00:32",tracked,"Confidence in tech 3"
18110,223,307,"2023-02-13 11:00:33",tracked,"Confidence in tech 6"
18111,223,307,"2023-02-13 11:00:33",tracked,"Confidence in tech 3"
18112,223,307,"2023-02-13 11:00:36",tracked,"Problem-solve tech 5"
18113,223,307,"2023-02-13 11:00:36",tracked,"Problem-solve tech 6"
18114,223,307,"2023-02-13 11:00:36",tracked,"Problem-solve tech 3"
18115,223,307,"2023-02-13 11:00:37",tracked,"Problem-solve tech 6"
18116,223,307,"2023-02-13 11:00:37",tracked,"Problem-solve tech 5"
18117,223,307,"2023-02-13 11:01:03",click,next-page
18118,223,308,"2023-02-13 11:01:04",page-load,"tech comfort quiz, part two"
18119,223,308,"2023-02-13 11:01:05",tracked,"Operate tech 6"
18120,223,308,"2023-02-13 11:01:05",tracked,"Operate tech 4"
18121,223,308,"2023-02-13 11:01:06",tracked,"Operate tech 4"
18122,223,308,"2023-02-13 11:01:06",tracked,"Operate tech 2"
18123,223,308,"2023-02-13 11:01:06",tracked,"Operate tech 4"
18124,223,308,"2023-02-13 11:01:06",tracked,"Operate tech 3"
18125,223,308,"2023-02-13 11:01:07",tracked,"Operate tech 5"
18126,223,308,"2023-02-13 11:01:07",tracked,"Operate tech 4"
18127,223,308,"2023-02-13 11:01:07",tracked,"Operate tech 3"
18128,223,308,"2023-02-13 11:01:07",tracked,"Operate tech 4"
18129,223,308,"2023-02-13 11:01:08",tracked,"Operate tech 4"
18130,223,308,"2023-02-13 11:01:08",tracked,"Operate tech 2"
18131,223,308,"2023-02-13 11:01:09",tracked,"Use tech 4"
18132,223,308,"2023-02-13 11:01:09",tracked,"Use tech 5"
18133,223,308,"2023-02-13 11:01:10",tracked,"Use tech 3"
18134,223,308,"2023-02-13 11:01:10",tracked,"Use tech 5"
18135,223,308,"2023-02-13 11:01:10",tracked,"Use tech 3"
18136,223,308,"2023-02-13 11:01:11",tracked,"Use tech 4"
18137,223,308,"2023-02-13 11:01:11",tracked,"Use tech 3"
18138,223,308,"2023-02-13 11:01:11",tracked,"Use tech 7"
18139,223,308,"2023-02-13 11:01:11",tracked,"Use tech 2"
18140,223,308,"2023-02-13 11:01:12",tracked,"Use tech 5"
18141,223,308,"2023-02-13 11:01:12",tracked,"Use tech 3"
18142,223,308,"2023-02-13 11:01:13",tracked,"Use tech 4"
18143,223,308,"2023-02-13 11:01:14",tracked,"Use touch-screen tablet 6"
18144,223,308,"2023-02-13 11:01:15",tracked,"Use touch-screen tablet 4"
18145,223,308,"2023-02-13 11:01:15",tracked,"Use touch-screen tablet 3"
18146,223,308,"2023-02-13 11:01:15",tracked,"Use touch-screen tablet 5"
18147,223,308,"2023-02-13 11:01:15",tracked,"Use touch-screen tablet 4"
18148,223,308,"2023-02-13 11:01:16",tracked,"Use touch-screen tablet 6"
18149,223,308,"2023-02-13 11:01:16",tracked,"Use touch-screen tablet 2"
18150,223,308,"2023-02-13 11:01:16",tracked,"Use touch-screen tablet 6"
18151,223,308,"2023-02-13 11:01:17",tracked,"Use touch-screen tablet 4"
18152,223,308,"2023-02-13 11:01:17",tracked,"Use touch-screen tablet 1"
18153,223,308,"2023-02-13 11:01:18",tracked,"Use touch-screen tablet 7"
18154,223,308,"2023-02-13 11:01:18",tracked,"Use touch-screen tablet 4"
18155,223,308,"2023-02-13 11:01:19",tracked,"Use touch-screen tablet 5"
18156,223,308,"2023-02-13 11:01:19",click,next-page
18157,223,309,"2023-02-13 11:01:20",page-load,video
18158,223,309,"2023-02-13 11:01:41",page-load,video
18159,223,310,"2023-02-13 11:01:42",page-load,"web form: question"
18160,223,310,"2023-02-13 11:01:44",click,"incorrect-option: Portrait"
18161,223,310,"2023-02-13 11:01:44",click,"incorrect-option: Portrait"
18162,223,310,"2023-02-13 11:01:45",click,hint
18163,223,310,"2023-02-13 11:01:46",click,"incorrect-option: Portrait"
18164,223,310,"2023-02-13 11:01:47",click,"correct-option: Landscape"
18165,223,310,"2023-02-13 11:01:48",click,next-page
18166,223,311,"2023-02-13 11:01:48",page-load,video
18167,223,31,"2023-02-13 11:02:17",page-load,video
18168,223,312,"2023-02-13 11:02:18",page-load,"web form: question"
18169,223,312,"2023-02-13 11:02:29",click,previous-page
18170,223,311,"2023-02-13 11:02:29",page-load,video
18171,223,31,"2023-02-13 11:02:38",page-load,video
18172,223,312,"2023-02-13 11:02:39",page-load,"web form: question"
18173,223,312,"2023-02-13 11:02:57",click,"incorrect-option: True"
18174,223,312,"2023-02-13 11:02:59",click,"correct-option: False"
18175,223,312,"2023-02-13 11:03:00",click,hint
18176,223,312,"2023-02-13 11:03:01",click,"correct-option: False"
18177,223,312,"2023-02-13 11:03:01",click,next-page
18178,223,313,"2023-02-13 11:03:02",page-load,video
18179,223,31,"2023-02-13 11:03:10",page-load,video
18180,223,314,"2023-02-13 11:03:11",page-load,"goal setting: example plan"
18181,223,314,"2023-02-13 11:03:14",click,next-page
18182,223,315,"2023-02-13 11:03:15",page-load,"goal setting: example plan"
18183,223,315,"2023-02-13 11:03:16",click,next-page
18184,223,316,"2023-02-13 11:03:16",page-load,"goal setting: example plan"
18185,223,316,"2023-02-13 11:03:22",click,previous-page
18186,223,315,"2023-02-13 11:03:23",page-load,"goal setting: example plan"
18187,223,315,"2023-02-13 11:03:23",click,previous-page
18188,223,314,"2023-02-13 11:03:24",page-load,"goal setting: example plan"
18189,223,314,"2023-02-13 11:03:41",click,next-page
18190,223,315,"2023-02-13 11:03:42",page-load,"goal setting: example plan"
18191,223,315,"2023-02-13 11:03:42",click,next-page
18192,223,316,"2023-02-13 11:03:43",page-load,"goal setting: example plan"
18193,223,316,"2023-02-13 11:03:43",click,next-page
18194,223,317,"2023-02-13 11:03:44",page-load,"goal setting: example plan"
18195,223,317,"2023-02-13 11:03:44",click,next-page
