id,user_id,page_id,time_stamp,action,object_clicked
15554,233,424,"2023-02-10 14:59:31",page-load,video
15556,233,425,"2023-02-10 14:59:46",page-load,"web form: question"
15557,233,425,"2023-02-10 14:59:50",click,"correct-option: True"
15558,233,425,"2023-02-10 14:59:50",click,"incorrect-option: False"
15559,233,425,"2023-02-10 14:59:56",click,next-page
15560,233,426,"2023-02-10 14:59:57",page-load,video
15561,233,427,"2023-02-10 15:00:03",page-load,"web form: what would you like to do next"
15562,233,427,"2023-02-10 15:00:04",click,take-a-break
15563,233,428,"2023-02-10 15:00:05",page-load,"skills quiz preview"
15564,233,428,"2023-02-10 15:00:07",click,next-page
15565,233,429,"2023-02-10 15:00:11",click,"skills quiz hint"
15566,233,0,"2023-02-10 15:00:16","Skills Quiz-23 Step-1 Correct",Edit
15567,233,429,"2023-02-10 15:00:17",click,"skills quiz hint"
15568,233,0,"2023-02-10 15:00:21","Skills Quiz-23 Step-2 Correct",Weekly
15569,233,429,"2023-02-10 15:00:23",click,"skills quiz hint"
15570,233,0,"2023-02-10 15:00:25","Skills Quiz-23 Step-3 Correct",Thu
15571,233,0,"2023-02-10 15:00:26","Skills Quiz-23 Step-4 Incorrect","Repeat Event OptionsRepeatDailyWeeklyMonthlyYearlyWeekdaysSunMonTueWedThuFriSatStop RepeatRepeat Forever (tap to change)Hide Repeated Event from Calendar?NOYES CancelSave"
15572,233,0,"2023-02-10 15:00:28","Skills Quiz-23 Step-4 Correct","Repeat Forever (tap to change)"
15573,233,0,"2023-02-10 15:00:30","Skills Quiz-23 Step-5 Incorrect",10
15574,233,0,"2023-02-10 15:00:31","Skills Quiz-23 Step-5 Correct",end-right-arrow
15575,233,0,"2023-02-10 15:00:32","Skills Quiz-23 Step-6 Incorrect",9
15576,233,0,"2023-02-10 15:00:32","Skills Quiz-23 Step-6 Correct",8
15577,233,0,"2023-02-10 15:00:33","Skills Quiz-23 Step-7 Correct",OK
15578,233,0,"2023-02-10 15:00:34","Skills Quiz-23 Step-8 Correct",Save
15579,233,0,"2023-02-10 15:00:36","Skills Quiz-23 Step-9 Incorrect",Save
15580,233,0,"2023-02-10 15:00:38","Skills Quiz-23 Step-9 Correct",YES
15581,233,0,"2023-02-10 15:00:41","Skills Quiz-23 Step-10 Incorrect","Cognitive TestingHealth RatingEmotion Rating"
15582,233,0,"2023-02-10 15:00:41","Skills Quiz-23 Step-10 Correct","                        Blood Pressure                     "
15583,233,0,"2023-02-10 15:00:44","Skills Quiz-23 Step-11 Correct","Tap Here"
15584,233,0,"2023-02-10 15:00:46","Skills Quiz-23 Step-12 Correct",1
15585,233,0,"2023-02-10 15:00:46","Skills Quiz-23 Step-13 Correct",2
15586,233,0,"2023-02-10 15:00:54","Skills Quiz-23 Step-14 Incorrect",123
